State,Homicide Offenses,Total Offenses,Population Covered,Year
Alabama,2,899,82332,2012
Arizona,32,2671,314822,2012
Arkansas,195,59476,2755084,2012
Colorado,176,47729,5055579,2012
Connecticut,84,26797,2598231,2012
Delaware,59,22141,917886,2012
District of Columbia,0,731,0,2012
Idaho,31,17484,1595241,2012
Illinois,12,6170,152293,2012
Iowa,50,29635,2920652,2012
Kansas,60,45302,2256072,2012
Kentucky,146,32282,4313264,2012
Louisiana,0,445,248064,2012
Maine,5,4001,285832,2012
Massachusetts,77,69778,5734473,2012
Michigan,736,160878,9633716,2012
Mississippi,5,3495,126059,2012
Missouri,116,16169,740543,2012
Montana,24,10776,995410,2012
Nebraska,3,7350,676706,2012
New Hampshire,16,17851,1170795,2012
North Dakota,17,8366,688805,2012
Ohio,330,123519,8312658,2012
Oklahoma,20,12713,1328271,2012
Oregon,33,13343,1216129,2012
Rhode Island,36,11619,1049246,2012
South Carolina,353,106343,4715754,2012
South Dakota,17,9489,769711,2012
Tennessee,449,162416,6460102,2012
Texas,110,46289,3483727,2012
Utah,52,33039,2305381,2012
Vermont,13,4201,622979,2012
Virginia,331,113151,8185867,2012
Washington,155,56385,4691718,2012
West Virginia,70,20276,1722976,2012
Wisconsin,128,24654,2163784,2012
