State,Homicide Offenses,Total Offenses,Population Covered,Year
Alabama,2,770,84139,2013
Arizona,15,4042,419382,2013
Arkansas,166,57603,2809536,2013
Colorado,199,48360,5163671,2013
Connecticut,44,24614,2618964,2013
Delaware,42,19665,925749,2013
District of Columbia,0,817,0,2013
Idaho,29,16862,1611676,2013
Illinois,22,5956,150209,2013
Iowa,49,28710,2958457,2013
Kansas,78,41814,2259330,2013
Kentucky,135,31031,4334254,2013
Louisiana,32,10556,605088,2013
Maine,1,4353,333464,2013
Massachusetts,101,68149,5818101,2013
Michigan,673,152264,9733958,2013
Mississippi,6,4443,143858,2013
Missouri,106,15493,737873,2013
Montana,15,9456,1000016,2013
Nebraska,4,6670,686383,2013
New Hampshire,32,16730,1178087,2013
North Dakota,15,8634,722021,2013
Ohio,366,129850,8525540,2013
Oklahoma,37,15900,1581467,2013
Oregon,31,12633,1449175,2013
Pennsylvania,2,182,148764,2013
Rhode Island,31,10830,1050471,2013
South Carolina,322,101125,4761406,2013
South Dakota,14,8742,782947,2013
Tennessee,375,149124,6497309,2013
Texas,118,41059,3415422,2013
Utah,43,32001,2288974,2013
Vermont,10,3604,626376,2013
Virginia,368,107585,8258337,2013
Washington,159,59274,5096736,2013
West Virginia,56,16373,1670269,2013
Wisconsin,143,24525,2267529,2013
