State,Homicide Offenses,Total Offenses,Population Covered,Year
Alabama,1,742,84843,2014
Arizona,12,3998,428215,2014
Arkansas,174,54845,2661818,2014
Colorado,176,50964,5275081,2014
Connecticut,45,23135,2702918,2014
Delaware,57,18891,935614,2014
District of Columbia,0,928,0,2014
Idaho,34,17005,1634011,2014
Illinois,19,5627,149586,2014
Indiana,22,1129,0,2014
Iowa,66,28063,2974604,2014
Kansas,60,38875,2241244,2014
Kentucky,169,34258,4413732,2014
Louisiana,33,11530,649955,2014
Maine,9,4101,333772,2014
Massachusetts,76,65448,5831560,2014
Michigan,589,148237,9743907,2014
Mississippi,6,3681,144940,2014
Missouri,91,16053,759060,2014
Montana,29,10679,992702,2014
Nebraska,9,7169,726082,2014
New Hampshire,12,16724,1238190,2014
North Dakota,19,8611,738176,2014
Ohio,377,125561,8418036,2014
Oklahoma,37,16826,1627493,2014
Oregon,30,12893,1526458,2014
Pennsylvania,1,998,173796,2014
Rhode Island,27,10755,1054130,2014
South Carolina,323,97201,4813088,2014
South Dakota,21,9415,791744,2014
Tennessee,419,149369,6520118,2014
Texas,87,28827,3219473,2014
Utah,74,30622,2320856,2014
Vermont,12,2936,626306,2014
Virginia,366,104793,8325670,2014
Washington,170,61643,5284057,2014
West Virginia,64,15633,1648198,2014
Wisconsin,138,23619,2320567,2014
