State,Homicide Offenses,Total Offenses,Population Covered,Year
Alabama,2,435,85521,2018
Arizona,28,4328,450167,2018
Arkansas,241,60838,2883871,2018
Colorado,248,61902,5641173,2018
Connecticut,64,27264,3150064,2018
Delaware,50,17788,967171,2018
Georgia,0,54,146168,2018
Hawaii,31,10197,982019,2018
Idaho,36,17710,1748506,2018
Illinois,23,5804,146198,2018
Indiana,48,8582,512169,2018
Iowa,45,19452,3082020,2018
Kansas,102,39891,2093483,2018
Kentucky,265,44947,4449972,2018
Louisiana,55,15487,833234,2018
Maine,5,4906,431978,2018
Maryland,20,5384,1042452,2018
Massachusetts,79,61176,5925066,2018
Michigan,620,158330,9968252,2018
Minnesota,10,4125,701758,2018
Mississippi,16,7532,406681,2018
Missouri,183,24306,1184415,2018
Montana,35,12383,1061101,2018
Nebraska,14,9765,957049,2018
New Hampshire,24,16953,1317257,2018
New Mexico,92,17373,662438,2018
North Dakota,28,10278,759744,2018
Ohio,524,148283,9369617,2018
Oklahoma,63,23367,2018690,2018
Oregon,112,40044,4056382,2018
Pennsylvania,1,869,202192,2018
Rhode Island,17,10618,1056281,2018
South Carolina,417,96830,5015959,2018
South Dakota,21,11584,838746,2018
Tennessee,546,150040,6770010,2018
Texas,613,164133,12116435,2018
Utah,61,30822,2403754,2018
Vermont,11,3969,626299,2018
Virginia,436,104374,8511045,2018
Washington,238,85736,7509327,2018
West Virginia,65,13479,1582691,2018
Wisconsin,184,34897,3514251,2018
