State,Homicide Offenses,Total Offenses,Population Covered,Year
Alabama,3,830,85163,2015
Arizona,15,3788,441235,2015
Arkansas,174,57034,2755248,2015
Colorado,197,54731,5441669,2015
Connecticut,56,21560,2773016,2015
Delaware,69,19515,945934,2015
Idaho,38,17064,1654475,2015
Illinois,20,6116,148178,2015
Iowa,80,29245,3105094,2015
Kansas,84,39029,2133081,2015
Kentucky,238,44430,4452859,2015
Louisiana,30,13526,746167,2015
Maine,6,3959,333419,2015
Massachusetts,90,63867,5783813,2015
Michigan,634,147792,9838291,2015
Mississippi,12,4036,129513,2015
Missouri,117,17368,768291,2015
Montana,38,11573,1025146,2015
Nebraska,9,7666,777196,2015
New Hampshire,18,16161,1267715,2015
North Dakota,25,8650,756927,2015
Ohio,411,127503,8788652,2015
Oklahoma,57,18848,1666338,2015
Oregon,64,16477,1671416,2015
Pennsylvania,1,1179,212641,2015
Rhode Island,28,10954,1055254,2015
South Carolina,427,98000,4826241,2015
South Dakota,32,10397,797431,2015
Tennessee,455,148714,6601280,2015
Texas,142,44884,3661036,2015
Utah,58,31839,2341627,2015
Vermont,10,3071,626042,2015
Virginia,414,104564,8380278,2015
Washington,175,64803,6150785,2015
West Virginia,60,16177,1494503,2015
Wisconsin,203,24659,2451661,2015
